op_unique_carrier,month,distance
9E,1,17667250
9E,2,17049332
9E,3,20426334
9E,4,19760121
9E,5,19893495
9E,6,20441415
9E,7,20319988
9E,8,21425034
9E,9,19106701
9E,10,20428751
9E,11,18875475
9E,12,20486730
9K,1,39990
9K,2,36120
9K,3,39990
9K,4,38700
9K,5,39990
AA,1,149984729
AA,2,139161041
AA,3,159455266
AA,4,150551962
AA,5,159893969
AA,6,162754765
AA,7,167883243
AA,8,166380842
AA,9,151206719
AA,10,156899743
AA,11,149344850
AA,12,156508331
AS,1,46112528
AS,2,41858728
AS,3,48658451
AS,4,57335608
AS,5,60398760
AS,6,61562507
AS,7,64477816
AS,8,63107531
AS,9,55851915
AS,10,57131821
AS,11,55217949
AS,12,57400552
AX,1,5997313
AX,2,5645284
AX,3,6385435
AX,4,6252532
AX,5,6217036
AX,6,6395541
AX,7,6403044
AX,8,6430470
AX,9,5780861
AX,10,5911928
AX,11,5575161
AX,12,5949535
B6,1,52116552
B6,2,49802741
B6,3,57332637
B6,4,56059123
B6,5,55863841
B6,6,54435508
B6,7,56958521
B6,8,56414934
B6,9,52486832
B6,10,54004827
B6,11,54241885
B6,12,56402890
C5,1,2761581
C5,2,2583183
C5,3,2879272
C5,4,2875693
C5,5,3119504
C5,6,3290907
C5,7,3383226
C5,8,3469665
C5,9,3503756
C5,10,3572759
C5,11,3576614
C5,12,3736500
CP,1,9008696
CP,2,8172447
CP,3,9362898
CP,4,8997165
CP,5,9348955
CP,6,8873338
CP,7,9086923
CP,8,9282081
CP,9,8325075
CP,10,8265924
CP,11,7460749
CP,12,7685644
DL,1,128022828
DL,2,118374793
DL,3,147870158
DL,4,141861692
DL,5,147421320
DL,6,155471773
DL,7,164843121
DL,8,164130159
DL,9,139909522
DL,10,145721676
DL,11,134997936
DL,12,141745917
EM,1,52938
EM,2,99712
EM,3,106874
EM,4,101136
EM,5,107016
EM,6,103272
EM,7,107244
EM,8,107304
EM,9,102672
EM,10,107226
EM,11,103836
EM,12,107088
EV,1,14820044
EV,2,13566589
EV,3,15923241
EV,4,13230848
EV,5,11791269
EV,6,12369844
EV,7,13017998
EV,8,13595451
EV,9,12480458
EV,10,11993929
EV,11,11979231
EV,12,11626210
F9,1,20478319
F9,2,18637476
F9,3,20380109
F9,4,20192742
F9,5,21995919
F9,6,22229382
F9,7,23672873
F9,8,23580135
F9,9,22841626
F9,10,23739860
F9,11,22907409
F9,12,23172490
G4,1,12384256
G4,2,13197523
G4,3,18063147
G4,4,15671026
G4,5,14650288
G4,6,17696401
G4,7,18717977
G4,8,14190526
G4,9,9528271
G4,10,13210259
G4,11,13775695
G4,12,15227742
G7,1,7587252
G7,2,6792923
G7,3,7724930
G7,4,7495137
G7,5,7734552
G7,6,7684721
G7,7,7394934
G7,8,7577538
G7,9,6468679
G7,10,6489842
G7,11,6092098
G7,12,6761723
HA,1,9367700
HA,2,8386376
HA,3,9447231
HA,4,9604346
HA,5,10050782
HA,6,10123426
HA,7,10551060
HA,8,10670778
HA,9,10019519
HA,10,10449290
HA,11,10188845
